Time, CA-V, CB-V 
13.832, 2.348, 0.001  
13.837, 2.343, 0.001  
13.881, 2.337, 0.001  
13.887, 2.331, 0.001  
13.892, 2.326, 0.001  
13.935, 2.320, 0.001  
13.946, 2.315, 0.001  
13.969, 2.309, 0.001  
13.979, 2.304, 0.001  
13.984, 2.298, 0.001  
14.038, 2.293, 0.001  
14.043, 2.288, 0.001  
14.049, 2.282, 0.001  
14.087, 2.277, 0.001  
14.096, 2.272, 0.001  
14.139, 2.266, 0.001  
14.146, 2.261, 0.001  
14.150, 2.256, 0.001  
14.193, 2.251, 0.001  
14.197, 2.246, 0.001  
14.244, 2.240, 0.001  
14.249, 2.235, 0.001  
14.254, 2.230, 0.001  
14.300, 2.225, 0.001  
14.306, 2.220, 0.001  
14.314, 2.215, 0.001  
14.344, 2.210, 0.001  
14.349, 2.205, 0.001  
14.396, 2.200, 0.001  
14.401, 2.195, 0.001  
14.406, 2.190, 0.001  
14.450, 2.185, 0.001  
14.455, 2.180, 0.001  
14.500, 2.175, 0.001  
14.505, 2.170, 0.001  
14.510, 2.165, 0.001  
14.550, 2.161, 0.001  
14.554, 2.156, 0.001  
14.600, 2.151, 0.001  
14.605, 2.146, 0.001  
14.619, 2.141, 0.001  
14.645, 2.137, 0.001  
14.649, 2.132, 0.001  
14.707, 2.127, 0.001  
14.711, 2.122, 0.001  
14.715, 2.118, 0.001  
14.754, 2.113, 0.001  
14.760, 2.108, 0.001  
14.764, 2.104, 0.001  
14.807, 2.099, 0.001  
14.812, 2.095, 0.001  
14.857, 2.090, 0.001  
14.862, 2.085, 0.001  
14.868, 2.081, 0.001  
14.909, 2.076, 0.001  
14.914, 2.072, 0.001  
14.967, 2.067, 0.001  
14.972, 2.063, 0.001  
14.979, 2.058, 0.001  
15.011, 2.054, 0.001  
15.015, 2.049, 0.001  
15.061, 2.045, 0.001  
15.067, 2.041, 0.001  
15.071, 2.036, 0.001  
15.114, 2.032, 0.001  
15.119, 2.027, 0.001  
15.162, 2.023, 0.001  
15.167, 2.019, 0.001  
15.172, 2.014, 0.001  
15.217, 2.010, 0.001  
15.222, 2.006, 0.001  
15.227, 2.001, 0.001  
15.269, 1.997, 0.001  
15.281, 1.993, 0.001  
15.317, 1.988, 0.001  
15.322, 1.984, 0.001  
15.327, 1.980, 0.001  
15.370, 1.976, 0.001  
15.376, 1.971, 0.001  
15.428, 1.967, 0.001  
15.432, 1.963, 0.001  
15.436, 1.959, 0.001  
15.474, 1.955, 0.001  
15.478, 1.951, 0.001  
15.521, 1.946, 0.001  
15.526, 1.942, 0.001  
15.530, 1.938, 0.001  
15.574, 1.934, 0.001  
15.579, 1.930, 0.001  
15.584, 1.926, 0.001  
15.632, 1.922, 0.001  
15.637, 1.918, 0.001  
15.677, 1.914, 0.001  
15.682, 1.909, 0.001  
15.687, 1.905, 0.001  
15.727, 1.901, 0.001  
15.733, 1.897, 0.001  
15.778, 1.893, 0.001  
15.783, 1.889, 0.001  
15.787, 1.885, 0.001  
15.831, 1.881, 0.001  
15.837, 1.877, 0.001  
15.880, 1.873, 0.001  
15.885, 1.869, 0.001  
15.893, 1.865, 0.001  
15.931, 1.862, 0.001  
15.936, 1.858, 0.001  
15.982, 1.854, 0.001  
15.988, 1.850, 0.001  
15.992, 1.846, 0.001  
16.035, 1.842, 0.001  
16.039, 1.838, 0.001  
16.044, 1.834, 0.001  
16.087, 1.830, 0.001  
16.092, 1.826, 0.001  
16.135, 1.823, 0.001  
16.140, 1.819, 0.001  
16.146, 1.815, 0.001  
16.187, 1.811, 0.001  
16.193, 1.807, 0.001  
